continent,surface_area
North America,193.0
North America,96.0
North America,800.0
North America,442.0
North America,13878.0
North America,22696.0
North America,53.0
North America,430.0
North America,9970610.0
North America,51100.0
North America,110861.0
North America,264.0
North America,751.0
North America,48511.0
North America,1705.0
North America,344.0
North America,2166090.0
North America,108889.0
North America,112088.0
North America,27750.0
North America,10990.0
North America,261.0
North America,622.0
North America,1958201.0
North America,102.0
North America,1102.0
North America,130000.0
North America,75517.0
North America,8875.0
North America,21041.0
North America,242.0
North America,430.0
North America,5130.0
North America,9363520.0
North America,388.0
North America,151.0
North America,347.0
Europe,28748.0
Europe,468.0
Europe,83859.0
Europe,30518.0
Europe,110994.0
Europe,51197.0
Europe,207600.0
Europe,41284.0
Europe,78866.0
Europe,357022.0
Europe,43094.0
Europe,505992.0
Europe,45227.0
Europe,338145.0
Europe,551500.0
Europe,1399.0
Europe,242900.0
Europe,6.0
Europe,131626.0
Europe,56538.0
Europe,93030.0
Europe,70273.0
Europe,103000.0
Europe,301316.0
Europe,160.0
Europe,65301.0
Europe,2586.0
Europe,64589.0
Europe,1.5
Europe,33851.0
Europe,25713.0
Europe,316.0
Europe,41526.0
Europe,323877.0
Europe,323250.0
Europe,91982.0
Europe,238391.0
Europe,17075400.0
Europe,62422.0
Europe,61.0
Europe,49012.0
Europe,20256.0
Europe,449964.0
Europe,603700.0
Europe,0.4
Europe,102173.0
